updated_at,PETRH243,PETRH247,PETRH251,PETRH254,PETRH256,PETRH261,PETRH274,PETRH276,PETRH279,PETRH289,PETRH294,PETRH299,PETRH304,PETRH306
2021-07-14 10:09:44.647,-0.08999999999999997,-0.20999999999999996,-0.08000000000000007,-0.18999999999999995,-0.18000000000000016,-0.020000000000000018,-0.16999999999999993,-0.18999999999999995,-0.11999999999999988,-0.09000000000000008,-0.1200000000000001,-0.09999999999999998,-0.10999999999999999,-0.05999999999999994
2021-07-14 10:10:00.297,-0.08999999999999997,-0.20999999999999996,-0.07000000000000006,-0.18999999999999995,-0.18000000000000016,-0.020000000000000018,-0.16999999999999993,-0.18999999999999995,-0.11999999999999988,-0.09000000000000008,-0.1200000000000001,-0.10999999999999999,-0.10999999999999999,-0.05999999999999994
2021-07-14 10:10:15.417,-0.09999999999999998,-0.15999999999999992,-0.08000000000000007,-0.18999999999999995,-0.16000000000000014,-0.020000000000000018,-0.16999999999999993,-0.18999999999999995,-0.1299999999999999,-0.13000000000000012,-0.1100000000000001,-0.09999999999999998,-0.10999999999999999,-0.05999999999999994
2021-07-14 10:10:30.533,-0.09999999999999998,-0.15000000000000013,-0.08000000000000007,-0.18999999999999995,-0.16000000000000014,-0.020000000000000018,-0.16999999999999993,-0.18999999999999995,-0.11999999999999988,-0.1499999999999999,-0.1100000000000001,-0.10999999999999999,-0.08999999999999997,-0.06999999999999995
2021-07-14 10:10:45.647,-0.06999999999999995,-0.09000000000000008,-0.07000000000000006,-0.18999999999999995,-0.15000000000000013,-0.07000000000000006,-0.16999999999999993,-0.18999999999999995,-0.10999999999999988,-0.15999999999999992,-0.14000000000000012,-0.12,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:11:00.787,-0.06999999999999995,-0.09000000000000008,-0.08000000000000007,-0.18999999999999995,-0.15000000000000013,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.10999999999999988,-0.15999999999999992,-0.14000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:11:15.913,-0.06999999999999995,-0.10000000000000009,-0.08000000000000007,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.11999999999999988,-0.1499999999999999,-0.14000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:11:31.027,-0.07999999999999996,-0.10000000000000009,-0.08000000000000007,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.11999999999999988,-0.1499999999999999,-0.13000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:11:46.137,-0.07999999999999996,-0.10000000000000009,-0.08000000000000007,-0.18999999999999995,-0.15999999999999992,-0.18999999999999995,-0.16999999999999993,-0.07000000000000006,-0.11999999999999988,-0.1499999999999999,-0.13000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:12:01.247,-0.07999999999999996,-0.10000000000000009,-0.08000000000000007,-0.18999999999999995,-0.15999999999999992,-0.18999999999999995,-0.16999999999999993,-0.07000000000000006,-0.11999999999999988,-0.1499999999999999,-0.13000000000000012,-0.10999999999999999,-0.08999999999999997,-0.06999999999999995
2021-07-14 10:12:16.383,-0.06999999999999995,-0.1399999999999999,-0.07000000000000006,-0.18999999999999995,-0.15999999999999992,-0.18999999999999995,-0.16999999999999993,-0.07000000000000006,-0.08999999999999986,-0.14000000000000012,-0.14000000000000012,-0.12,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:12:31.507,-0.09999999999999998,-0.1499999999999999,-0.07000000000000006,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.09999999999999987,-0.1200000000000001,-0.14000000000000012,-0.08999999999999997,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:12:46.623,-0.09999999999999998,-0.1499999999999999,-0.07000000000000006,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.09999999999999987,-0.1200000000000001,-0.14000000000000012,-0.08999999999999997,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:13:01.737,-0.09999999999999998,-0.1499999999999999,-0.07000000000000006,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.09999999999999987,-0.1200000000000001,-0.14000000000000012,-0.08999999999999997,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:13:16.843,-0.09999999999999998,-0.1499999999999999,-0.07000000000000006,-0.18999999999999995,-0.15999999999999992,-0.15999999999999992,-0.16999999999999993,-0.10000000000000009,-0.09999999999999987,-0.1200000000000001,-0.14000000000000012,-0.08999999999999997,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:13:31.957,-0.09999999999999998,-0.1499999999999999,-0.07000000000000006,-0.18999999999999995,-0.1499999999999999,-0.16999999999999993,-0.16999999999999993,-0.10000000000000009,-0.08999999999999986,-0.13000000000000012,-0.14000000000000012,-0.08999999999999997,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:13:47.073,-0.09999999999999998,-0.1499999999999999,-0.050000000000000044,-0.18999999999999995,-0.1499999999999999,-0.16999999999999993,-0.16999999999999993,-0.10000000000000009,-0.08999999999999986,-0.13000000000000012,-0.14000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
2021-07-14 10:14:02.190,-0.09999999999999998,-0.1499999999999999,-0.050000000000000044,-0.18999999999999995,-0.1499999999999999,-0.16999999999999993,-0.16999999999999993,-0.10000000000000009,-0.08999999999999986,-0.13000000000000012,-0.14000000000000012,-0.10999999999999999,-0.09999999999999998,-0.05999999999999994
